title,summary
Do 10 jumping jacks.,And post it to YouTube.
"Jump 10,000 times with a pogo stick.","In a row without rest, touching the ground with your body, or falling off. And post it to YouTube."
Drink 2 gallons of liquid in 2 hours.,"All must go into your stomach, none can come out anywhere above the waste. Post it to Youtube."
"Breed a giant horse, 4,000+ pounds.",Need I say more?
Find a new species of animal.,There can be no previous written knowledge of it.
Make a new type of cheese.,It better taste good.
Beef jerky jelly beans.,Jelly beans can be salty instead of sweet.
Make a perpetual motion device.,"They say it can't be done, but it would be great if you could prove them wrong."
Establish a colony of people on the moon.,Good luck.
A perimeter alarm for children in your yard.,"If they leave the designated area, and alarm sounds."
A flying car.,It can drive and fly. Yay!
Horseshoe Barbecue.,Just start the chain. It's horseshoes and barbecue and it's yummy.
A good way to get rid of gifts you don't want.,It's usually awkward or makes you feel bad. Fix that.
A viable competitor to Microsoft.,Tons of money will need to be spent to get at least 33% of the market share in the declining PC OS and personal office productivity space.
A viable competitor to Google.,Must be independant and have at least 20% search market share.
A platform for ideas.,Ideas get valued by the community. The idea poster gets a small cut and the chosen person to implement gets the large cut. Sound familiar?
Fly repellant for a door jambs.,Stop them in their tracks.
Brown socks.,They need to be truly brown.
A Go program that can beat AlphaGo.,Google's AlphaGo is good. Can you beat it?
The Iron Man suit.,"It would be expensive, but I really would like to have one."
Water shoes that let you walk on water.,Could be very useful for lifeguards.
More REM music.,Please just make more of it.
More great classical music.,"I'm talking Mozart and Beethoven level. When will we get another one of those ""greats""."
Authentic Greek food in York County.,"Sorry Greek Food Festival, I want even better, and it should be a sit down restaurant that's open at least 5 days a week."
A program that translates the Bible.,"Every ""same word"" is linked to every other one, so that they have to be translated consistently."
Teleportation device.,"For humans... and you must stay alive, intact, and have the same conscious."
"World wide nuclear weapon ""radar"".",Shows all nukes around the world at all times for all people to see.
Homeless Tiny House Community,Build a community of tiny houses for homeless people. Educate them in a skill.  e.g. Give them a project like a produce garden to take care of and benefit from.
An App to Give People What They Need,Design an app where people in need of free things or services can state their needs.  The public can find ways to help according to their individual resources or abilities.
Affordable Quiet Vacuum Cleaner,Invent an affordable noiseless vacuum cleaner.
Easy Car Seat system for Children,Design a harness or vest that can be put on a child inside the house and that will easily click into the carseat once in the car.  (To replace car seat seatbelts).
Authentic Thai Food Restaurant,Start a restaurant that serves true authentic Thai street food.
Car Seats with Built-in Beds,Design seats for a car that would transition well into cots to sleep on.
Stinkless Trash Can,Make a trash can that truly eliminate the smell of trash instead of masking it.
Self hanging picture frame,Invent a picture frame that has a self-contained hanging system that doesn't use nails or wall-damaging adhesives.
Conversation App,Make an app that teaches people how to start and hold meaningful conversations with each other.
Shoes for Standing,Shoes that are made for people who stand in one place for long periods of time.
Baby Wipes that Treat Diaper Rash,Baby wipes that clean well and also treat diaper rash instead of making it worse.
Waterproof Bible,Make a Bible that can get wet and not be ruined.
Quiet Grocery Cart,A Grocery cart that glides smoothly and is quiet.